0.0184,2012621,1126652920,0.16,3240
0.0147,1912019,1063536980,0.15,3271
0.0154,2023382,1112920630,0.16,3368
0.025,2773793,1535544400,0.22,3850
0.0373,4506945,2524752300,0.36,4008
0.0288,4901046,2762808200,0.39,4216
0.0358,8341468,4964130100,0.66,4537
0.0154,3147388,1888148700,0.25,3908
0.0357,4158819,2523641800,0.33,4066
0.0256,3775807,2250440700,0.3,3998
0.0239,2684167,1583970300,0.21,3734
0.0227,2464068,1427993200,0.2,3746
0.0165,1631660,949962160,0.13,3014
0.011,1992154,1168089520,0.16,3377
0.0293,4039941,2427823200,0.32,4346
0.013,2455448,1461585100,0.2,3626
0.0185,2489585,1466943000,0.2,3687
0.0111,1922218,1130221290,0.15,3496
0.0253,2571596,1501321300,0.2,3766
0.0218,2694098,1549600800,0.21,3819
0.0196,3064043,1736537300,0.24,3767
0.0228,1910986,1080787420,0.15,3209
0.0245,2659286,1490157600,0.21,3760
0.0184,1786620,1005617680,0.14,3294
0.0172,2949357,1670211300,0.23,3794
0.0647,6367837,3705150500,0.51,4335
0.0288,6228649,3754388000,0.5,4135
0.0265,3097735,1838179200,0.25,3855
0.0435,3768347,2258501500,0.3,4319
0.0162,3475013,2105981500,0.28,3980
0.0194,2883813,1750413200,0.23,3718
0.0283,4989227,3084214800,0.4,4235
0.0237,2904390,1797683100,0.23,3690
0.0295,3888421,2445929500,0.31,3878
0.0226,2564890,1606308100,0.2,3628
0.0584,5576485,3613919100,0.44,4280
0.0183,4208364,2775103900,0.34,4076
0.021,3028476,2004454100,0.24,3848
0.0435,6860918,4647515800,0.55,4450
